Covered Entity Name,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
Brightstar Global Solutions Corporation,RI,Health Plan,103879,2025-10-03,Hacking/IT Incident,Network Server,No,
Arizona Health Care Cost Containment System- State Medicaid Agency,AZ,Health Plan,3177,2025-10-03,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Florida Health Sciences Center, Inc",FL,Healthcare Provider,896,2025-10-03,Unauthorized Access/Disclosure,Paper/Films,No,
Harris County Hospital District d/b/a Harris Health ,TX,Healthcare Provider,5357,2025-10-03,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Revere Health, PC",UT,Healthcare Provider,10800,2025-10-02,Hacking/IT Incident,Network Server,No,
"Weekend Health, LLC",NY,Business Associate,1643,2025-09-30,Unauthorized Access/Disclosure,Network Server,Yes,
Harbor,OH,Healthcare Provider,216000,2025-09-30,Hacking/IT Incident,Network Server,No,
Blue Shield of California ,CA,Business Associate,607,2025-09-29,Unauthorized Access/Disclosure,Paper/Films,Yes,
"Belkorp Ag, LLC",CA,Health Plan,942,2025-09-29,Hacking/IT Incident,Network Server,No,
Blue Shield of California,CA,Health Plan,93921,2025-09-29,Unauthorized Access/Disclosure,Paper/Films,No,
Gainwell Technologies LLC,TX,Business Associate,912,2025-09-26,Unauthorized Access/Disclosure,Other,Yes,
VIVA Health,AL,Health Plan,4945,2025-09-26,Unauthorized Access/Disclosure,Other,No,
Intercommunity Action Inc. ,PA,Healthcare Provider,2680,2025-09-26,Hacking/IT Incident,Network Server,No,
Rockhill Women’s Care,MO,Healthcare Provider,70129,2025-09-25,Hacking/IT Incident,Network Server,No,
Susan B. Allen Memorial Hospital,KS,Healthcare Provider,12097,2025-09-25,Hacking/IT Incident,"Desktop Computer, Network Server",No,
Doctors Imaging Group,FL,Healthcare Provider,171862,2025-09-24,Hacking/IT Incident,Network Server,No,
Healthcare Interactive,MD,Business Associate,501,2025-09-22,Hacking/IT Incident,Network Server,Yes,
"City of St. Joseph, MO Health Department ",MO,Healthcare Provider,11538,2025-09-22,Hacking/IT Incident,Network Server,No,
People Encouraging People,MD,Healthcare Provider,13083,2025-09-19,Hacking/IT Incident,Network Server,No,
"Health & Palliative Services of the Treasure Coast, Inc d/b/a Treasure Coast Hospice  (“Treasure Health ”)",FL,Healthcare Provider,13230,2025-09-19,Unauthorized Access/Disclosure,Email,No,
"Ennoble Care & Circa Health, LLC",NJ,Healthcare Provider,36332,2025-09-18,Hacking/IT Incident,Email,No,
Sun Valley Surgery Center,NV,Healthcare Provider,27001,2025-09-18,Hacking/IT Incident,Network Server,No,
Sturgis Hospital,MI,Health Plan,77771,2025-09-18,Hacking/IT Incident,Network Server,No,
